Sample size;Naive algorithm;KMP without opt;KMP with opt;Boyer-Moore
100;2.92551e+07;2.12823e+07;2.06971e+07;3.21525e+07
200;2.90005e+07;2.12559e+07;2.07572e+07;3.51689e+07
300;2.89674e+07;2.12705e+07;2.10272e+07;2.98348e+07
400;2.90045e+07;2.10008e+07;2.04631e+07;3.24241e+07
500;2.88814e+07;2.09382e+07;2.0554e+07;3.05744e+07
600;2.88084e+07;2.06855e+07;1.95101e+07;3.64906e+07
700;2.90341e+07;2.07533e+07;2.05698e+07;3.00667e+07
800;2.90359e+07;2.08472e+07;2.04555e+07;2.67085e+07
900;2.86275e+07;2.09969e+07;2.06348e+07;3.6267e+07
1000;2.89622e+07;2.09704e+07;2.06932e+07;2.88561e+07
1100;2.84169e+07;2.03886e+07;1.9389e+07;3.40735e+07
1200;2.86347e+07;2.11e+07;2.07221e+07;3.634e+07
1300;2.85473e+07;2.11952e+07;2.05115e+07;3.18933e+07
1400;2.85558e+07;2.11839e+07;2.07289e+07;3.27726e+07
1500;2.88904e+07;2.10124e+07;1.98678e+07;2.48847e+07
1600;2.89424e+07;2.09866e+07;2.07995e+07;3.02251e+07
1700;2.84738e+07;2.09784e+07;2.01616e+07;2.91386e+07
1800;2.86065e+07;2.13824e+07;2.10445e+07;2.89326e+07
1900;2.90539e+07;2.10946e+07;2.09355e+07;3.5119e+07
2000;2.83603e+07;2.07173e+07;1.96388e+07;2.94445e+07
2100;2.85653e+07;2.12354e+07;2.083e+07;3.19245e+07
2200;2.84749e+07;2.12858e+07;2.05778e+07;3.62087e+07
2300;2.86087e+07;2.13395e+07;2.09655e+07;3.42167e+07
2400;2.85349e+07;2.13149e+07;2.09775e+07;3.63827e+07
2500;2.85015e+07;2.12848e+07;2.10443e+07;3.63004e+07
2600;2.85352e+07;2.13596e+07;2.09979e+07;3.64491e+07
2700;2.86081e+07;2.11473e+07;2.11682e+07;3.4114e+07
2800;2.88464e+07;2.13744e+07;2.05877e+07;3.3169e+07
2900;2.85433e+07;2.11089e+07;2.07539e+07;3.04028e+07
3000;2.85218e+07;2.10802e+07;2.03426e+07;3.20164e+07
